REGION_NUM,REGION_NAME,FOREST_NAME,DISTRICT_NAME,CITY,STATE,LOCATION,MODULES,HOUSING,NOTES,FOREST_URL
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,ACTON,CALIFORNIA,"ACTON, CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/angeles
5,Pacific Southwest,MODOC,BIG VALLEY,ADIN,CALIFORNIA,"ADIN, CALIFORNIA","Engine, Water tender",YES,,http://www.fs.usda.gov/modoc
4,Intermountain,BRIDGER-TETON,GREYS RIVER,AFTON,WYOMING,"AFTON, WYOMING",Engine,YES,,http://www.fs.usda.gov/btnf
3,Southwestern,APACHE-SITGREAVES,ALPINE,ALPINE,ARIZONA,"ALPINE, ARIZONA","Engine, IA Crew/Squad (4-10 person)",YES,,https://www.fs.usda.gov/asnf
5,Pacific Southwest,CLEVELAND,DESCANSO,ALPINE,CALIFORNIA,"ALPINE, CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
5,Pacific Southwest,MODOC,DEVILS GARDEN,ALTURAS,CALIFORNIA,"ALTURAS, CALIFORNIA",,,,http://www.fs.usda.gov/modoc
6,Pacific Northwest,GIFFORD PINCHOT,MT SAINT HELENS NATIONAL VOLCANIC MONUMENT,AMBOY,WASHINGTON,"AMBOY, WASHINGTON",IA Crew/Squad (4-10 person),YES,NICE ASS BUNKHOUSES,http://www.fs.usda.gov/giffordpinchot
1,Northern,CUSTER GALLATIN,ASHLAND,ASHLAND,MONTANA,"ASHLAND, MONTANA","Engine, Fuels",YES,,http://www.fs.usda.gov/custergallatin
4,Intermountain,CARIBOU-TARGHEE,ASHTON/ISLAND PARK,ASHTON,IDAHO,"ASHTON, IDAHO",,,,http://www.fs.usda.gov/ctnf
2,Rocky Mountain,WHITE RIVER,ASPEN,ASPEN,COLORADO,"ASPEN, COLORADO",,,,http://www.fs.usda.gov/whiteriver
1,Northern,HELENA-LEWIS AND CLARK,ROCKY MOUNTAIN,AUGUSTA,MONTANA,"AUGUSTA, MONTANA","Engine, WFM",YES,,http://www.fs.usda.gov/helena/
2,Rocky Mountain,ARAPAHO AND ROOSEVELT,PAWNEE NATIONAL GRASSLAND,AULT,COLORADO,"AULT, COLORADO",,,,http://www.fs.usda.gov/arp
4,Intermountain,HUMBOLDT-TOIYABE,AUSTIN/TONOPAH,AUSTIN,NEVADA,"AUSTIN, NEVADA",Engine,YES,,http://www.fs.usda.gov/htnf
1,Northern,IDAHO PANHANDLE,ST. JOE,AVERY,IDAHO,"AVERY, IDAHO","Engine, WFM",YES,,https://www.fs.usda.gov/ipnf/
6,Pacific Northwest,WALLOWA-WHITMAN,WHITMAN,BAKER CITY,OREGON,"BAKER CITY, OREGON",,,,http://www.fs.usda.gov/wallowa-whitman
2,Rocky Mountain,SAN JUAN,COLUMBINE,BAYFIELD,COLORADO,"BAYFIELD, COLORADO","Engine, WFM",YES,"Bayfield housing is at Vallecito Work Center and is very limited, with maybe only 2 beds? - An old bunk house at Vallecito where the WFM and Engine are out of. Maybe 2 rooms. Limited rentals in bayfield and Durango. Most are $$$. Home prices are outrageous. Good luck.  - Absolute shithole",http://www.fs.usda.gov/sanjuan
4,Intermountain,FISHLAKE,BEAVER,BEAVER,UTAH,"BEAVER, UTAH",,,,http://www.fs.usda.gov/fishlake
5,Pacific Southwest,PLUMAS,BECKWOURTH,BECKWOURTH,CALIFORNIA,"BECKWOURTH, CALIFORNIA","Hotshot Crew, Prevention",YES,Housing for Beckwourth hotshots provided at district office in Mohawk 20 minutes away. ,http://www.fs.usda.gov/plumas/
6,Pacific Northwest,DESCHUTES,BEND/FORT ROCK,BEND,OREGON,"BEND, OREGON","Engine, WFM",YES,"No gov housing, but theyâ€™ve been putting people up in local college dorms. As far as I know this is still going on.",http://www.fs.usda.gov/centraloregon
5,Pacific Southwest,SHASTA-TRINITY,BIG BAR,BIG BAR,CALIFORNIA,"BIG BAR, CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/stnf/
4,Intermountain,BRIDGER-TETON,BIG PINEY,BIG PINEY,WYOMING,"BIG PINEY, WYOMING","Engine, Hotshot Crew, Fuels",YES,,http://www.fs.usda.gov/btnf
1,Northern,CUSTER GALLATIN,BOZEMAN,BIG TIMBER,MONTANA,"BIG TIMBER, MONTANA",Engine,YES,,http://www.fs.usda.gov/custergallatin
1,Northern,FLATHEAD,SWAN LAKE,BIGFORK,MONTANA,"BIGFORK, MONTANA","Engine, Type 2/2IA Handcrew, Hotshot Crew, WFM, Prevention",YES,,http://www.fs.usda.gov/flathead
5,Pacific Southwest,INYO,WHITE MOUNTAIN,BISHOP,CALIFORNIA,"BISHOP, CALIFORNIA",,,,http://www.fs.usda.gov/inyo/
5,Pacific Southwest,PLUMAS,BECKWOURTH,BLAIRSDEN,CALIFORNIA,"BLAIRSDEN, CALIFORNIA","Engine, Prevention, Water Tender",YES,,http://www.fs.usda.gov/plumas/
3,Southwestern,CARSON,JICARILLA,BLOOMFIELD,NEW MEXICO,"BLOOMFIELD, NEW MEXICO",,,,https://www.fs.usda.gov/carson
